url,seo_nombre,estado,kb_orig,kb_opt,reduccion_%
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_185949270-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-013.jpg,OK,89.3,91.1,-2.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_191403589-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-014.jpg,OK,287.0,288.8,-0.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_1914035891-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-015.jpg,OK,289.0,290.7,-0.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_192144676-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-016.jpg,OK,99.5,101.4,-1.9
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_1929502142-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-017.jpg,OK,148.6,150.4,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195317404_exported_1095_1684914613148-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-018.jpg,OK,141.2,142.2,-0.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195322734_exported_673_16849145288822-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-019.jpg,OK,144.7,145.5,-0.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195409569-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-020.jpg,OK,128.4,128.9,-0.5
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195609489-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-021.jpg,OK,138.5,139.8,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_1956560901-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-022.jpg,OK,143.3,145.2,-1.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195731833-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-023.jpg,OK,138.8,140.7,-1.4
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195839379-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-024.jpg,OK,209.9,212.6,-1.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_1958393791-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-025.jpg,OK,210.8,213.6,-1.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195847436-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-026.jpg,OK,223.0,225.4,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195946064-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-027.jpg,OK,204.1,206.1,-1.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230523_195952397-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-1-028.jpg,OK,177.7,179.8,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_174330895-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-001.jpg,OK,97.0,98.6,-1.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_180212657-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-002.jpg,OK,161.0,163.0,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_180220696-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-003.jpg,OK,116.7,118.3,-1.4
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_180328560.MP-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-004.jpg,OK,132.1,134.1,-1.5
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_180912986-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-005.jpg,OK,116.1,117.9,-1.5
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_180923484-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-006.jpg,OK,111.8,113.8,-1.7
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_183034400.MP-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-007.jpg,OK,126.1,127.5,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_183034400.MP1-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-008.jpg,OK,126.1,127.5,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_184124350-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-009.jpg,OK,159.8,161.6,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_184235518-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-010.jpg,OK,107.5,109.6,-2.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_184616770.MP-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-011.jpg,OK,116.3,118.6,-2.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_191621061-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-012.jpg,OK,106.6,109.4,-2.6
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_193100782-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-013.jpg,OK,86.4,88.2,-2.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_193404280-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-014.jpg,OK,79.6,81.6,-2.4
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_193605256-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-015.jpg,OK,209.3,211.5,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_193613052-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-016.jpg,OK,187.4,189.3,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_194843480-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-017.jpg,OK,83.9,85.0,-1.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_1948434801-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-018.jpg,OK,85.5,87.5,-2.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_195853733-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-019.jpg,OK,255.6,258.8,-1.2
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230524_1958537331-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-2-020.jpg,OK,258.4,261.6,-1.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230530_180100168-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-3-001.jpg,OK,112.1,113.6,-1.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230530_180745049-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-3-002.jpg,OK,83.9,84.5,-0.8
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230530_180850468-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-3-003.jpg,OK,118.0,119.0,-0.8
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230530_181215369-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-3-004.jpg,OK,101.0,103.1,-2.0
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230530_181351132-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-3-005.jpg,OK,104.7,106.1,-1.3
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230530_195129343.MP-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-3-006.jpg,OK,168.5,170.3,-1.1
https://talleresdeteatro.es/wp-content/uploads/2023/12/PXL_20230530_195151446-Large.jpeg,clase-teatro-barcelona-mayo-2023-sesion-3-007.jpg,OK,189.7,191.4,-0.9
